,artist,subgenre,genre,master_genre
0,Mark Ronson,dance pop,Pop music,Pop music
1,Mark Ronson,indie r&b,Alternative rock,Pop music
2,Mark Ronson,neo mellow,Alternative rock,Pop music
3,Mark Ronson,pop,Pop music,Pop music
4,Mark Ronson,pop rap,Pop music,Pop music
5,Mark Ronson,post-teen pop,Pop music,Pop music
6,Mark Ronson,soul,Jazz,Pop music
7,Mark Ronson,tropical house,House music,Pop music
8,Ed Sheeran,pop,Pop music,Pop music
9,Wiz Khalifa,pop rap,Pop music,Hip hop
10,Wiz Khalifa,rap,Hip hop,Hip hop
11,Wiz Khalifa,southern hip hop,Hip hop,Hip hop
12,Wiz Khalifa,trap music,Rock music,Hip hop
13,Fetty Wap,pop rap,Pop music,Rock music
14,Fetty Wap,rap,Hip hop,Rock music
15,Fetty Wap,trap music,Rock music,Rock music
16,Maroon 5,dance pop,Pop music,Pop music
17,Maroon 5,pop,Pop music,Pop music
18,Maroon 5,pop christmas,Pop music,Pop music
19,Maroon 5,pop rap,Pop music,Pop music
20,Maroon 5,pop rock,Pop music,Pop music
21,Maroon 5,post-teen pop,Pop music,Pop music
22,Walk The Moon,indie pop,Pop music,Pop music
23,Walk The Moon,pop,Pop music,Pop music
24,Taylor Swift,children's christmas,,Pop music
25,Weeknd,canadian pop,Pop music,Pop music
26,Weeknd,pop,Pop music,Pop music
27,Weeknd,pop rap,Pop music,Pop music
28,Weeknd,rap,Hip hop,Pop music
29,OMI,pop,Pop music,Pop music
30,OMI,tropical house,House music,Pop music
31,Ellie Goulding,dance pop,Pop music,Pop music
32,Ellie Goulding,metropopolis,,Pop music
33,Ellie Goulding,pop,Pop music,Pop music
34,Ellie Goulding,post-teen pop,Pop music,Pop music
35,Hozier,folk-pop,,Blues music
36,Hozier,modern blues,Blues music,Blues music
37,Hozier,pop,Pop music,Blues music
38,Major Lazer and DJ Snake,edm,Blues music,Fusion music
39,Major Lazer and DJ Snake,electro house,House music,Fusion music
40,Major Lazer and DJ Snake,moombahton,Fusion music,Fusion music
41,Major Lazer and DJ Snake,pop,Pop music,Fusion music
42,Jason Derulo,dance pop,Pop music,Pop music
43,Jason Derulo,pop,Pop music,Pop music
44,Jason Derulo,pop rap,Pop music,Pop music
45,Jason Derulo,post-teen pop,Pop music,Pop music
46,Jason Derulo,r&b,,Pop music
47,Taylor Swift,fake,,Pop music
48,Skrillex and Diplo With Justin Bieber,edm,Blues music,Blues music
49,Skrillex and Diplo With Justin Bieber,pop,Pop music,Blues music
50,Skrillex and Diplo With Justin Bieber,tropical house,House music,Blues music
51,Rachel Platten,pop,Pop music,Pop music
52,Rachel Platten,post-teen pop,Pop music,Pop music
53,Meghan Trainor,dance pop,Pop music,Pop music
54,Meghan Trainor,hip pop,Pop music,Pop music
55,Meghan Trainor,pop,Pop music,Pop music
56,Meghan Trainor,post-teen pop,Pop music,Pop music
57,Fifth Harmony,dance pop,Pop music,Pop music
58,Fifth Harmony,pop,Pop music,Pop music
59,Fifth Harmony,post-teen pop,Pop music,Pop music
60,Fifth Harmony,talent show,,Pop music
61,Omarion,dance pop,Pop music,Pop music
62,Omarion,hip pop,Pop music,Pop music
63,Omarion,indie r&b,Alternative rock,Pop music
64,Omarion,pop,Pop music,Pop music
65,Omarion,pop rap,Pop music,Pop music
66,Omarion,r&b,,Pop music
67,Omarion,rap,Hip hop,Pop music
68,Omarion,southern hip hop,Hip hop,Pop music
69,Omarion,trap music,Rock music,Pop music
70,Omarion,urban contemporary,Gospel music,Pop music
71,Andy Grammer,neo mellow,Alternative rock,Pop music
72,Andy Grammer,pop,Pop music,Pop music
73,Andy Grammer,post-teen pop,Pop music,Pop music
74,Sam Smith,pop,Pop music,Pop music
75,Selena Gomez,dance pop,Pop music,Pop music
76,Selena Gomez,pop,Pop music,Pop music
77,Selena Gomez,post-teen pop,Pop music,Pop music
78,Drake,canadian pop,Pop music,Pop music
79,Drake,hip hop,Hip hop,Pop music
80,Drake,pop rap,Pop music,Pop music
81,Drake,rap,Hip hop,Pop music
82,David Guetta,dance pop,Pop music,Pop music
83,David Guetta,disco house,House music,Pop music
84,David Guetta,edm,Blues music,Pop music
85,David Guetta,electro house,House music,Pop music
86,David Guetta,house,House music,Pop music
87,David Guetta,pop,Pop music,Pop music
88,David Guetta,pop rap,Pop music,Pop music
89,Flo Rida,dance pop,Pop music,Pop music
90,Flo Rida,pop,Pop music,Pop music
91,Flo Rida,pop rap,Pop music,Pop music
92,Flo Rida,rap,Hip hop,Pop music
93,Flo Rida,southern hip hop,Hip hop,Pop music
94,Justin Bieber,canadian pop,Pop music,Pop music
95,Justin Bieber,dance pop,Pop music,Pop music
96,Justin Bieber,pop,Pop music,Pop music
97,Justin Bieber,pop christmas,Pop music,Pop music
98,Justin Bieber,post-teen pop,Pop music,Pop music
99,Adele,dance pop,Pop music,Pop music
100,Adele,pop,Pop music,Pop music
101,Shawn Mendes,canadian pop,Pop music,Pop music
102,Shawn Mendes,pop,Pop music,Pop music
103,Shawn Mendes,viral pop,Pop music,Pop music
104,Tove Lo,metropopolis,,Pop music
105,Tove Lo,pop,Pop music,Pop music
106,Tove Lo,swedish pop,Pop music,Pop music
107,Tove Lo,swedish synthpop,Extreme metal,Pop music
108,Nick Jonas,dance pop,Pop music,Pop music
109,Nick Jonas,pop,Pop music,Pop music
110,Nick Jonas,pop christmas,Pop music,Pop music
111,Nick Jonas,post-teen pop,Pop music,Pop music
112,R. City,alternative r&b,Alternative rock,Pop music
113,R. City,pop,Pop music,Pop music
114,R. City,post-teen pop,Pop music,Pop music
115,R. City,tropical house,House music,Pop music
116,Natalie La Rose,pop,Pop music,Pop music
117,Natalie La Rose,post-teen pop,Pop music,Pop music
118,Natalie La Rose,tropical house,House music,Pop music
119,Fall Out Boy,emo,Punk rock,Pop music
120,Fall Out Boy,pop punk,Pop music,Pop music
121,Fall Out Boy,pop rock,Pop music,Pop music
122,Sam Hunt,contemporary country,Country music,Country music
123,Sam Hunt,country road,Country music,Country music
124,Big Sean,detroit hip hop,Hip hop,Hip hop
125,Big Sean,pop rap,Pop music,Hip hop
126,Big Sean,rap,Hip hop,Hip hop
127,Big Sean,southern hip hop,Hip hop,Hip hop
128,Big Sean,trap music,Rock music,Hip hop
129,Rihanna,dance pop,Pop music,Pop music
130,Rihanna,pop,Pop music,Pop music
131,Rihanna,pop christmas,Pop music,Pop music
132,Rihanna,post-teen pop,Pop music,Pop music
133,Rihanna,r&b,,Pop music
134,Rihanna,soul christmas,Jazz,Pop music
135,Rihanna,urban contemporary,Gospel music,Pop music
136,Rich Homie Quan,deep trap,House music,Hip hop
137,Rich Homie Quan,gangster rap,Hip hop,Hip hop
138,Rich Homie Quan,pop rap,Pop music,Hip hop
139,Rich Homie Quan,rap,Hip hop,Hip hop
140,Rich Homie Quan,southern hip hop,Hip hop,Hip hop
141,Rich Homie Quan,trap music,Rock music,Hip hop
142,T-Wayne,pop rap,Pop music,Hip hop
143,T-Wayne,rap,Hip hop,Hip hop
144,T-Wayne,southern hip hop,Hip hop,Hip hop
145,T-Wayne,trap music,Rock music,Hip hop
146,Nicki Minaj,dance pop,Pop music,Pop music
147,Nicki Minaj,hip pop,Pop music,Pop music
148,Nicki Minaj,pop,Pop music,Pop music
149,Nicki Minaj,pop rap,Pop music,Pop music
150,Nicki Minaj,post-teen pop,Pop music,Pop music
151,Nicki Minaj,rap,Hip hop,Pop music
152,Sia,australian dance,Dance music,Pop music
153,Sia,dance pop,Pop music,Pop music
154,Sia,pop,Pop music,Pop music
155,Demi Lovato,dance pop,Pop music,Pop music
156,Demi Lovato,pop,Pop music,Pop music
157,Demi Lovato,pop christmas,Pop music,Pop music
158,Demi Lovato,post-teen pop,Pop music,Pop music
159,X Ambassadors,pop,Pop music,Pop music
160,X Ambassadors,stomp pop,Pop music,Pop music
161,Usher,dance pop,Pop music,Pop music
162,Usher,pop,Pop music,Pop music
163,Usher,pop christmas,Pop music,Pop music
164,Usher,pop rap,Pop music,Pop music
165,Usher,r&b,,Pop music
166,Usher,rap,Hip hop,Pop music
167,Usher,southern hip hop,Hip hop,Pop music
168,Usher,urban contemporary,Gospel music,Pop music
169,Beyonce,dance pop,Pop music,Pop music
170,Beyonce,pop,Pop music,Pop music
171,Beyonce,pop rap,Pop music,Pop music
172,Beyonce,post-teen pop,Pop music,Pop music
173,Beyonce,r&b,,Pop music
174,Beyonce,rap,Hip hop,Pop music
175,Beyonce,urban contemporary,Gospel music,Pop music
176,Little Big Town,contemporary country,Country music,Country music
177,Little Big Town,country,Country music,Country music
178,Little Big Town,country christmas,Country music,Country music
179,Little Big Town,country dawn,Country music,Country music
180,Little Big Town,country road,Country music,Country music
181,Little Big Town,modern country rock,Rock music,Country music
182,Trey Songz,dance pop,Pop music,Pop music
183,Trey Songz,hip pop,Pop music,Pop music
184,Trey Songz,indie r&b,Alternative rock,Pop music
185,Trey Songz,pop,Pop music,Pop music
186,Trey Songz,pop christmas,Pop music,Pop music
187,Trey Songz,pop rap,Pop music,Pop music
188,Trey Songz,r&b,,Pop music
189,Trey Songz,rap,Hip hop,Pop music
190,Trey Songz,southern hip hop,Hip hop,Pop music
191,Trey Songz,trap music,Rock music,Pop music
192,Trey Songz,urban contemporary,Gospel music,Pop music
193,One Direction,boy band,Pop music,Pop music
194,One Direction,dance pop,Pop music,Pop music
195,One Direction,pop,Pop music,Pop music
196,One Direction,post-teen pop,Pop music,Pop music
197,One Direction,talent show,,Pop music
198,Ariana Grande,dance pop,Pop music,Pop music
199,Ariana Grande,pop,Pop music,Pop music
200,Ariana Grande,pop christmas,Pop music,Pop music
201,Ariana Grande,post-teen pop,Pop music,Pop music
202,Meek Mill,dirty south rap,Hip hop,Hip hop
203,Meek Mill,gangster rap,Hip hop,Hip hop
204,Meek Mill,hip hop,Hip hop,Hip hop
205,Meek Mill,pop rap,Pop music,Hip hop
206,Meek Mill,rap,Hip hop,Hip hop
207,Meek Mill,southern hip hop,Hip hop,Hip hop
208,Meek Mill,trap music,Rock music,Hip hop
209,Rae Sremmurd,pop rap,Pop music,Hip hop
210,Rae Sremmurd,rap,Hip hop,Hip hop
211,Rae Sremmurd,southern hip hop,Hip hop,Hip hop
212,Rae Sremmurd,trap music,Rock music,Hip hop
213,Vance Joy,folk-pop,,Alternative rock
214,Vance Joy,indie folk,Alternative rock,Alternative rock
215,Vance Joy,pop,Pop music,Alternative rock
216,Jidenna,rap,Hip hop,Hip hop
217,Elle King,pop,Pop music,Pop music
218,Charlie Puth,pop,Pop music,Pop music
219,Charlie Puth,viral pop,Pop music,Pop music
220,James Newton Howard,soundtrack,,
221,O.T. Genasis,pop rap,Pop music,Hip hop
222,O.T. Genasis,rap,Hip hop,Hip hop
223,O.T. Genasis,southern hip hop,Hip hop,Hip hop
224,O.T. Genasis,trap music,Rock music,Hip hop
225,"Jessie J, Ariana Grande and Nicki Minaj",dance pop,Pop music,Pop music
226,"Jessie J, Ariana Grande and Nicki Minaj",hip pop,Pop music,Pop music
227,"Jessie J, Ariana Grande and Nicki Minaj",pop,Pop music,Pop music
228,"Jessie J, Ariana Grande and Nicki Minaj",pop rap,Pop music,Pop music
229,"Jessie J, Ariana Grande and Nicki Minaj",post-teen pop,Pop music,Pop music
230,"Jessie J, Ariana Grande and Nicki Minaj",r&b,,Pop music
231,"Jessie J, Ariana Grande and Nicki Minaj",talent show,,Pop music
232,"Jessie J, Ariana Grande and Nicki Minaj",urban contemporary,Gospel music,Pop music
233,iLoveMakonnen,indie r&b,Alternative rock,Hip hop
234,iLoveMakonnen,pop rap,Pop music,Hip hop
235,iLoveMakonnen,rap,Hip hop,Hip hop
236,iLoveMakonnen,southern hip hop,Hip hop,Hip hop
237,iLoveMakonnen,trap music,Rock music,Hip hop
238,iLoveMemphis,dwn trap,,Rock music
239,iLoveMemphis,trap music,Rock music,Rock music
240,Macklemore and Ryan Lewis,pop,Pop music,Pop music
241,Macklemore and Ryan Lewis,pop rap,Pop music,Pop music
242,Luke Bryan,contemporary country,Country music,Country music
243,Luke Bryan,country,Country music,Country music
244,Luke Bryan,country christmas,Country music,Country music
245,Luke Bryan,country road,Country music,Country music
246,George Ezra,neo-singer-songwriter,,Pop music
247,George Ezra,pop,Pop music,Pop music
248,Kelly Clarkson,dance pop,Pop music,Pop music
249,Kelly Clarkson,neo mellow,Alternative rock,Pop music
250,Kelly Clarkson,pop,Pop music,Pop music
251,Kelly Clarkson,pop christmas,Pop music,Pop music
252,Kelly Clarkson,pop rock,Pop music,Pop music
253,Kelly Clarkson,post-teen pop,Pop music,Pop music
254,Kelly Clarkson,r&b,,Pop music
255,Kelly Clarkson,talent show,,Pop music
256,Ella Henderson,pop,Pop music,Pop music
257,Ella Henderson,post-teen pop,Pop music,Pop music
258,Ella Henderson,talent show,,Pop music
259,Alessia Cara,pop,Pop music,Pop music
260,Mr. Probz,pop,Pop music,Pop music
261,Mr. Probz,tropical house,House music,Pop music
262,Nicky Jam and Enrique Iglesias,latin,Latin music,Rock music
263,Nicky Jam and Enrique Iglesias,latin hip hop,Hip hop,Rock music
264,Nicky Jam and Enrique Iglesias,reggaeton,Fusion music,Rock music
265,Nicky Jam and Enrique Iglesias,tropical,Rock music,Rock music
266,Ne-Yo,alternative r&b,Alternative rock,Pop music
267,Ne-Yo,dance pop,Pop music,Pop music
268,Ne-Yo,hip pop,Pop music,Pop music
269,Ne-Yo,pop,Pop music,Pop music
270,Ne-Yo,pop christmas,Pop music,Pop music
271,Ne-Yo,pop rap,Pop music,Pop music
272,Ne-Yo,r&b,,Pop music
273,Ne-Yo,rap,Hip hop,Pop music
274,Ne-Yo,southern hip hop,Hip hop,Pop music
275,Ne-Yo,urban contemporary,Gospel music,Pop music
276,Pharrell Williams,dance pop,Pop music,Pop music
277,Pharrell Williams,hip hop,Hip hop,Pop music
278,Pharrell Williams,hip pop,Pop music,Pop music
279,Pharrell Williams,pop,Pop music,Pop music
280,Pharrell Williams,pop rap,Pop music,Pop music
281,Pharrell Williams,r&b,,Pop music
282,Pharrell Williams,rap,Hip hop,Pop music
283,Pharrell Williams,southern hip hop,Hip hop,Pop music
284,Pharrell Williams,tropical house,House music,Pop music
285,Pharrell Williams,urban contemporary,Gospel music,Pop music
286,Katy Perry,dance pop,Pop music,Pop music
287,Katy Perry,pop,Pop music,Pop music
288,Katy Perry,pop christmas,Pop music,Pop music
289,Katy Perry,pop rap,Pop music,Pop music
290,Katy Perry,pop rock,Pop music,Pop music
291,Katy Perry,post-teen pop,Pop music,Pop music
292,John Legend,hip pop,Pop music,Pop music
293,John Legend,neo soul,Jazz,Pop music
294,John Legend,pop,Pop music,Pop music
295,John Legend,pop christmas,Pop music,Pop music
296,John Legend,pop rap,Pop music,Pop music
297,John Legend,r&b,,Pop music
298,John Legend,rap,Hip hop,Pop music
299,John Legend,soul christmas,Jazz,Pop music
300,John Legend,urban contemporary,Gospel music,Pop music
301,Iggy Azalea,dance pop,Pop music,Pop music
302,Iggy Azalea,hip pop,Pop music,Pop music
303,Iggy Azalea,pop,Pop music,Pop music
304,Iggy Azalea,post-teen pop,Pop music,Pop music
305,OneRepublic,dance pop,Pop music,Pop music
306,OneRepublic,piano rock,Pop music,Pop music
307,OneRepublic,pop,Pop music,Pop music
308,OneRepublic,pop christmas,Pop music,Pop music
309,OneRepublic,pop rock,Pop music,Pop music
310,MAGIC!,pop,Pop music,Pop music
311,Pitbull,dance pop,Pop music,Pop music
312,Pitbull,latin,Latin music,Pop music
313,Pitbull,pop,Pop music,Pop music
314,Pitbull,pop rap,Pop music,Pop music
315,Bastille,folk-pop,,Pop music
316,Bastille,metropopolis,,Pop music
317,Bastille,pop,Pop music,Pop music
318,Nico and Vinz,norwegian pop,Pop music,Pop music
319,Nico and Vinz,pop,Pop music,Pop music
320,Nico and Vinz,post-teen pop,Pop music,Pop music
321,Nico and Vinz,tropical house,House music,Pop music
322,Eminem,detroit hip hop,Hip hop,Hip hop
323,Eminem,g funk,Rock music,Hip hop
324,Eminem,hip hop,Hip hop,Hip hop
325,Eminem,pop rap,Pop music,Hip hop
326,Eminem,rap,Hip hop,Hip hop
327,Lorde,metropopolis,,Pop music
328,Lorde,pop,Pop music,Pop music
329,Passenger,folk-pop,,Alternative rock
330,Passenger,neo mellow,Alternative rock,Alternative rock
331,Passenger,pop,Pop music,Alternative rock
332,Idina Menzel,christmas,,Pop music
333,Idina Menzel,hollywood,,Pop music
334,Idina Menzel,pop christmas,Pop music,Pop music
335,Idina Menzel,show tunes,,Pop music
336,Avicii,big room,Jazz,House music
337,Avicii,edm,Blues music,House music
338,Avicii,electro house,House music,House music
339,Avicii,house,House music,House music
340,Avicii,pop,Pop music,House music
341,Avicii,progressive house,Progressive music,House music
342,Avicii,tropical house,House music,House music
343,Imagine Dragons,pop,Pop music,Alternative rock
344,Imagine Dragons,vegas indie,Alternative rock,Alternative rock
345,"Jessie J, Ariana Grande & Nicki Minaj",dance pop,Pop music,Pop music
346,"Jessie J, Ariana Grande & Nicki Minaj",hip pop,Pop music,Pop music
347,"Jessie J, Ariana Grande & Nicki Minaj",pop,Pop music,Pop music
348,"Jessie J, Ariana Grande & Nicki Minaj",pop rap,Pop music,Pop music
349,"Jessie J, Ariana Grande & Nicki Minaj",post-teen pop,Pop music,Pop music
350,"Jessie J, Ariana Grande & Nicki Minaj",r&b,,Pop music
351,"Jessie J, Ariana Grande & Nicki Minaj",talent show,,Pop music
352,"Jessie J, Ariana Grande & Nicki Minaj",urban contemporary,Gospel music,Pop music
353,Disclosure,indie r&b,Alternative rock,Alternative rock
354,Disclosure,pop,Pop music,Alternative rock
355,Disclosure,tropical house,House music,Alternative rock
356,Chris Brown,dance pop,Pop music,Pop music
357,Chris Brown,pop,Pop music,Pop music
358,Chris Brown,pop christmas,Pop music,Pop music
359,Chris Brown,pop rap,Pop music,Pop music
360,Chris Brown,r&b,,Pop music
361,Chris Brown,rap,Hip hop,Pop music
362,Chris Brown,soul christmas,Jazz,Pop music
363,American Authors,brooklyn indie,Alternative rock,Alternative rock
364,American Authors,pop,Pop music,Alternative rock
365,Calvin Harris,dance pop,Pop music,Pop music
366,Calvin Harris,edm,Blues music,Pop music
367,Calvin Harris,electro house,House music,Pop music
368,Calvin Harris,house,House music,Pop music
369,Calvin Harris,pop,Pop music,Pop music
370,Charli XCX,candy pop,Pop music,Pop music
371,Charli XCX,dance pop,Pop music,Pop music
372,Charli XCX,indie r&b,Alternative rock,Pop music
373,Charli XCX,metropopolis,,Pop music
374,Charli XCX,pop,Pop music,Pop music
375,Charli XCX,post-teen pop,Pop music,Pop music
376,Charli XCX,tropical house,House music,Pop music
377,Enrique Iglesias,dance pop,Pop music,Pop music
378,Enrique Iglesias,latin,Latin music,Pop music
379,Enrique Iglesias,latin pop,Pop music,Pop music
380,Enrique Iglesias,pop,Pop music,Pop music
381,Enrique Iglesias,tropical,Rock music,Pop music
382,Clean Bandit,pop,Pop music,Pop music
383,Clean Bandit,tropical house,House music,Pop music
384,Clean Bandit,uk funky,Electronic music,Pop music
385,Jeremih,dance pop,Pop music,Pop music
386,Jeremih,pop,Pop music,Pop music
387,Jeremih,pop christmas,Pop music,Pop music
388,Jeremih,pop rap,Pop music,Pop music
389,Jeremih,rap,Hip hop,Pop music
390,Jeremih,southern hip hop,Hip hop,Pop music
391,Jeremih,trap music,Rock music,Pop music
392,Kid Ink,hip hop,Hip hop,Hip hop
393,Kid Ink,pop rap,Pop music,Hip hop
394,Kid Ink,rap,Hip hop,Hip hop
395,Kid Ink,southern hip hop,Hip hop,Hip hop
396,Kid Ink,trap music,Rock music,Hip hop
397,Miley Cyrus,dance pop,Pop music,Pop music
398,Miley Cyrus,pop,Pop music,Pop music
399,Miley Cyrus,pop christmas,Pop music,Pop music
400,Miley Cyrus,post-teen pop,Pop music,Pop music
401,Justin Timberlake,boy band,Pop music,Pop music
402,Justin Timberlake,dance pop,Pop music,Pop music
403,Justin Timberlake,pop,Pop music,Pop music
404,Justin Timberlake,pop rap,Pop music,Pop music
405,Justin Timberlake,post-teen pop,Pop music,Pop music
406,Justin Timberlake,r&b,,Pop music
407,Justin Timberlake,rap,Hip hop,Pop music
408,Paramore,candy pop,Pop music,Pop music
409,Paramore,emo,Punk rock,Pop music
410,Paramore,pop emo,Pop music,Pop music
411,Paramore,pop punk,Pop music,Pop music
412,Paramore,post-teen pop,Pop music,Pop music
413,Aloe Blacc,funk,Jazz,Jazz
414,Aloe Blacc,indie r&b,Alternative rock,Jazz
415,Aloe Blacc,neo soul,Jazz,Jazz
416,Aloe Blacc,pop,Pop music,Jazz
417,Aloe Blacc,pop rap,Pop music,Jazz
418,Aloe Blacc,soul,Jazz,Jazz
419,Florida Georgia Line,contemporary country,Country music,Country music
420,Florida Georgia Line,country road,Country music,Country music
421,Florida Georgia Line,modern country rock,Rock music,Country music
422,Mkto,pop,Pop music,Pop music
423,Mkto,post-teen pop,Pop music,Pop music
424,Coldplay,permanent wave,Electronic music,Pop music
425,Coldplay,pop,Pop music,Pop music
426,Coldplay,pop christmas,Pop music,Pop music
427,Coldplay,rock,Rock music,Pop music
428,Bobby Shmurda,pop rap,Pop music,Hip hop
429,Bobby Shmurda,rap,Hip hop,Hip hop
430,Bobby Shmurda,southern hip hop,Hip hop,Hip hop
431,Bobby Shmurda,trap music,Rock music,Hip hop
432,Yg,hip hop,Hip hop,Hip hop
433,Yg,pop rap,Pop music,Hip hop
434,Yg,rap,Hip hop,Hip hop
435,Yg,southern hip hop,Hip hop,Hip hop
436,Yg,trap music,Rock music,Hip hop
437,Echosmith,pop,Pop music,Pop music
438,Echosmith,pop christmas,Pop music,Pop music
439,Jason Aldean,contemporary country,Country music,Country music
440,Jason Aldean,country,Country music,Country music
441,Jason Aldean,country road,Country music,Country music
442,Tinashe,hip pop,Pop music,Pop music
443,Tinashe,indie r&b,Alternative rock,Pop music
444,Tinashe,metropopolis,,Pop music
445,Tinashe,pop,Pop music,Pop music
446,Tinashe,r&b,,Pop music
447,Tinashe,rap,Hip hop,Pop music
448,Tinashe,trap music,Rock music,Pop music
449,Brantley Gilbert,contemporary country,Country music,Country music
450,Brantley Gilbert,country,Country music,Country music
451,Brantley Gilbert,country road,Country music,Country music
452,Brantley Gilbert,modern country rock,Rock music,Country music
453,Becky G,dance pop,Pop music,Pop music
454,Becky G,pop,Pop music,Pop music
455,Becky G,post-teen pop,Pop music,Pop music
456,Rixton,pop,Pop music,Pop music
457,Rixton,post-teen pop,Pop music,Pop music
458,Martin Garrix,big room,Jazz,Jazz
459,Martin Garrix,edm,Blues music,Jazz
460,Rich Gang,pop rap,Pop music,Hip hop
461,Rich Gang,rap,Hip hop,Hip hop
462,Rich Gang,southern hip hop,Hip hop,Hip hop
463,Rich Gang,trap music,Rock music,Hip hop
464,Kenny Chesney,contemporary country,Country music,Country music
465,Kenny Chesney,country,Country music,Country music
466,Kenny Chesney,country christmas,Country music,Country music
467,Kenny Chesney,country road,Country music,Country music
468,Kenny Chesney,pop christmas,Pop music,Country music
469,Sara Bareilles,folk christmas,Pop music,Pop music
470,Sara Bareilles,folk-pop,,Pop music
471,Sara Bareilles,lilith,,Pop music
472,Sara Bareilles,neo mellow,Alternative rock,Pop music
473,Sara Bareilles,pop,Pop music,Pop music
474,Sara Bareilles,pop christmas,Pop music,Pop music
475,Sara Bareilles,pop rock,Pop music,Pop music
476,Sara Bareilles,post-teen pop,Pop music,Pop music
477,The Neighbourhood,indie pop,Pop music,Pop music
478,The Neighbourhood,indietronica,,Pop music
479,The Neighbourhood,shimmer pop,Pop music,Pop music
480,Michael Jackson and Justin Timberlake,dance pop,Pop music,Pop music
481,Michael Jackson and Justin Timberlake,funk rock,Fusion music,Pop music
482,Michael Jackson and Justin Timberlake,mellow gold,,Pop music
483,Michael Jackson and Justin Timberlake,pop,Pop music,Pop music
484,Michael Jackson and Justin Timberlake,pop christmas,Pop music,Pop music
485,Michael Jackson and Justin Timberlake,r&b,,Pop music
486,Michael Jackson and Justin Timberlake,soft rock,Rock music,Pop music
487,Michael Jackson and Justin Timberlake,urban contemporary,Gospel music,Pop music
488,Dierks Bentley,contemporary country,Country music,Country music
489,Dierks Bentley,country,Country music,Country music
490,Dierks Bentley,country road,Country music,Country music
491,Lady Antebellum,contemporary country,Country music,Country music
492,Lady Antebellum,country,Country music,Country music
493,Lady Antebellum,country christmas,Country music,Country music
494,Lady Antebellum,country dawn,Country music,Country music
495,Lady Antebellum,country road,Country music,Country music
496,Lady Antebellum,pop christmas,Pop music,Country music
497,Naughty Boy,pop,Pop music,Pop music
498,Naughty Boy,tropical house,House music,Pop music
499,Robin Thicke,dance pop,Pop music,Pop music
500,Robin Thicke,hip pop,Pop music,Pop music
501,Robin Thicke,indie r&b,Alternative rock,Pop music
502,Robin Thicke,neo soul,Jazz,Pop music
503,Robin Thicke,pop,Pop music,Pop music
504,Robin Thicke,pop rap,Pop music,Pop music
505,Robin Thicke,post-teen pop,Pop music,Pop music
506,Robin Thicke,r&b,,Pop music
507,Robin Thicke,soul,Jazz,Pop music
508,Robin Thicke,urban contemporary,Gospel music,Pop music
509,Lady Gaga,dance pop,Pop music,Pop music
510,Lady Gaga,pop,Pop music,Pop music
511,Lady Gaga,pop christmas,Pop music,Pop music
512,Lady Gaga,post-teen pop,Pop music,Pop music
513,Lady Gaga,r&b,,Pop music
514,Shakira,dance pop,Pop music,Pop music
515,Shakira,latin,Latin music,Pop music
516,Shakira,latin pop,Pop music,Pop music
517,Shakira,pop,Pop music,Pop music
518,Shakira,pop rap,Pop music,Pop music
519,5 Seconds Of Summer,pop,Pop music,Pop music
520,5 Seconds Of Summer,post-teen pop,Pop music,Pop music
521,T.I.,crunk,Fusion music,Hip hop
522,T.I.,dance pop,Pop music,Hip hop
523,T.I.,dirty south rap,Hip hop,Hip hop
524,T.I.,gangster rap,Hip hop,Hip hop
525,T.I.,hip hop,Hip hop,Hip hop
526,T.I.,hip pop,Pop music,Hip hop
527,T.I.,pop rap,Pop music,Hip hop
528,T.I.,rap,Hip hop,Hip hop
529,T.I.,southern hip hop,Hip hop,Hip hop
530,T.I.,trap music,Rock music,Hip hop
531,Lil Wayne,dirty south rap,Hip hop,Pop music
532,Lil Wayne,hip hop,Hip hop,Pop music
533,Lil Wayne,pop christmas,Pop music,Pop music
534,Lil Wayne,pop rap,Pop music,Pop music
535,Lil Wayne,rap,Hip hop,Pop music
536,Lil Wayne,southern hip hop,Hip hop,Pop music
537,Lil Wayne,trap music,Rock music,Pop music
538,Mike Will Made-It,pop rap,Pop music,Hip hop
539,Mike Will Made-It,rap,Hip hop,Hip hop
540,Mike Will Made-It,southern hip hop,Hip hop,Hip hop
541,Mike Will Made-It,trap music,Rock music,Hip hop
542,Jake Owen,contemporary country,Country music,Country music
543,Jake Owen,country,Country music,Country music
544,Jake Owen,country road,Country music,Country music
545,Jake Owen,modern country rock,Rock music,Country music
546,Macklemore & Ryan Lewis,pop,Pop music,Pop music
547,Macklemore & Ryan Lewis,pop rap,Pop music,Pop music
548,Zedd,complextro,,House music
549,Zedd,edm,Blues music,House music
550,Zedd,electro house,House music,House music
551,Zedd,german techno,Techno,House music
552,Zedd,house,House music,House music
553,Zedd,pop,Pop music,House music
554,Schoolboy Q,hip hop,Hip hop,Hip hop
555,Schoolboy Q,pop rap,Pop music,Hip hop
556,Schoolboy Q,rap,Hip hop,Hip hop
557,Schoolboy Q,southern hip hop,Hip hop,Hip hop
558,Schoolboy Q,trap music,Rock music,Hip hop
559,Lee Brice,contemporary country,Country music,Country music
560,Lee Brice,country,Country music,Country music
561,Lee Brice,country road,Country music,Country music
562,Lee Brice,modern country rock,Rock music,Country music
563,Baauer,edm,Blues music,Fusion music
564,Baauer,electronic trap,Electronic music,Fusion music
