,artist,master_genre
210,The Band Perry,Country music
211,Diddy – Dirty Money,Pop music
212,Taio Cruz,Pop music
213,Waka Flocka Flame,Hip hop
214,DJ Khaled,Hip hop
215,Cobra Starship,Pop music
216,Dr. Dre,Hip hop
217,Nelly,Hip hop
218,Kelly Rowland,Pop music
219,Edward Maya & Vika Jigulina,House music
220,Far*East Movement,Pop music
221,Kanye West,Pop music
222,Tinie Tempah,Pop music
223,The Script,Pop music
224,Keri Hilson,Pop music
225,Selena Gomez & The Scene,Pop music
226,Zac Brown Band,Country music
227,Brad Paisley With Carrie Underwood,Country music
228,Dev,Pop music
229,New Boyz,Pop music
230,Rodney Atkins,Country music
231,Mike Posner,Pop music
232,Thompson Square,Country music
233,Young Money,Hip hop
234,Black Eyed Peas,Pop music
235,Travie McCoy,Pop music
236,Iyaz,Pop music
237,Owl City,Pop music
238,Ludacris,Hip hop
239,Far East Movement,Pop music
240,Timbaland,Hip hop
241,Michael Buble,Pop music
242,Jay Sean,Pop music
243,La Roux,Electronic music
244,Adam Lambert,Pop music
245,Kris Allen,Pop music
246,Orianthi,Pop music
247,Shontelle,Pop music
248,Boys Like Girls,Pop music
249,3OH!3,Pop music
250,Alicia Keyes,Pop music
251,Kevin Rudolf,Pop music
252,Sugarland,Country music
253,Kings of Leon,Rock music
254,Daughtry,Alternative rock
255,Uncle Kraker,
256,Cali Swag District,Hip hop
257,Jerrod Niemann,Country music
258,The All-American Rejects,Pop music
259,The Fray,Pop music
260,Kings Of Leon,Rock music
261,Jamie Foxx,Pop music
262,Soulja Boy Tell ’em,Hip hop
263,Shinedown,Heavy metal
264,Kid Cudi,Hip hop
265,Sean Kingston,Pop music
266,Jason DeRulo,Pop music
267,Pink,Pop music
268,The Pussycat Dolls,Pop music
269,Nickelback,Rock music
270,Akon,Pop music
271,Jordin Sparks,Pop music
272,Jay-Z + Alicia Keys,Hip hop
273,Mario,Pop music
274,Colbie Caillat,Pop music
275,The Veronicas,Pop music
276,Fabolous,Hip hop
277,Asher Roth,Hip hop
278,Green Day,Rock music
279,Soulja Boy Tell’em,Hip hop
280,The-Dream,Pop music
281,Brad Paisley,Country music
282,Rob Thomas,Pop music
283,Jesse McCartney,Pop music
284,Billy Currington,Country music
285,Kristinia DeBarge,Pop music
286,Jim Jones and Ron Browz,Hip hop
287,Maxwell,Gospel music
288,Leona Lewis,Pop music
289,Alicia Keys,Pop music
290,Jordin Sparks Duet With Chris Brown,Pop music
291,Natasha Bedingfield,Pop music
292,Madonna,Pop music
293,Finger Eleven,Heavy metal
