,ARTIST,ARTIST_Full,Rank,TITLE,YEAR,Year,acousticness,artist_img,artist_pop,artist_uri,danceability,duration_ms,energy,exact_song_match,explicit,genres,instrumentalness,key,liveness,loudness,preview_url,search_dict,song_name,song_pop,song_uri,tempo,valence
4074,John Denver,John Denver,77.0,I’m Sorry / Calypso,1975.0,1975.0,,https://i.scdn.co/image/f2278173bb65e49ea136e224a09043ba4b7279e3,63.0,,,,,False,,"[u'adult standards', u'christmas', u'country christmas', u'folk', u'folk christmas', u'folk rock', u'mellow gold', u'nashville sound', u'rock-and-roll', u'rockabilly', u'singer-songwriter', u'soft rock', u'traditional country', u'traditional folk']",,,,,,"{'acousticness': None, 'genres': [u'adult standards', u'christmas', u'country christmas', u'folk', u'folk christmas', u'folk rock', u'mellow gold', u'nashville sound', u'rock-and-roll', u'rockabilly', u'singer-songwriter', u'soft rock', u'traditional country', u'traditional folk'], 'artist_img': u'https://i.scdn.co/image/f2278173bb65e49ea136e224a09043ba4b7279e3', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 63, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
4084,Ringo Starr,Ringo Starr,87.0,No No Song / Snookeroo,1975.0,1975.0,,https://i.scdn.co/image/84f2acb46adbe3e5ab16e969a466789678a4c96a,46.0,,,,,False,,"[u'album rock', u'blues-rock', u'brill building pop', u'british blues', u'bubblegum pop', u'classic rock', u'folk', u'folk rock', u'mellow gold', u'merseybeat', u'psychedelic rock', u'rock', u'rock-and-roll', u'rockabilly', u'roots rock', u'singer-songwriter', u'soft rock', u'traditional folk']",,,,,,"{'acousticness': None, 'genres': [u'album rock', u'blues-rock', u'brill building pop', u'british blues', u'bubblegum pop', u'classic rock', u'folk', u'folk rock', u'mellow gold', u'merseybeat', u'psychedelic rock', u'rock', u'rock-and-roll', u'rockabilly', u'roots rock', u'singer-songwriter', u'soft rock', u'traditional folk'], 'artist_img': u'https://i.scdn.co/image/84f2acb46adbe3e5ab16e969a466789678a4c96a', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 46, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
4085,Paul McCartney and Wings,Paul McCartney and Wings,88.0,Junior’s Farm / Sally G,1975.0,1975.0,,,,,,,,False,,,,,,,,"{'acousticness': None, 'genres': None, 'artist_img': None, 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': None, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
4095,Bachman-Turner Overdrive,Bachman-Turner Overdrive,98.0,You Aint Seen Nothin’ Yet / Free Wheelin’,1975.0,1975.0,,https://i.scdn.co/image/0680b00d1907fa7ebf9678f9196eb9f9f57ba821,54.0,,,,,False,,"[u'album rock', u'blues-rock', u'british blues', u'classic funk rock', u'classic rock', u'hard rock', u'mellow gold', u'rock', u'soft rock', u'southern rock']",,,,,,"{'acousticness': None, 'genres': [u'album rock', u'blues-rock', u'british blues', u'classic funk rock', u'classic rock', u'hard rock', u'mellow gold', u'rock', u'soft rock', u'southern rock'], 'artist_img': u'https://i.scdn.co/image/0680b00d1907fa7ebf9678f9196eb9f9f57ba821', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 54, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
4232,Eddie Kendricks,Eddie Kendricks,35.0,Keep On Truckin’ (Pt. 1),1973.0,1973.0,,https://i.scdn.co/image/d5eff2f40af987b8794a43b6df78a47f41e4dc8f,42.0,,,,,False,,"[u'chicago soul', u'classic funk rock', u'disco', u'funk', u'jazz funk', u'memphis soul', u'motown', u'quiet storm', u'soul', u'soul blues', u'southern soul']",,,,,,"{'acousticness': None, 'genres': [u'chicago soul', u'classic funk rock', u'disco', u'funk', u'jazz funk', u'memphis soul', u'motown', u'quiet storm', u'soul', u'soul blues', u'southern soul'], 'artist_img': u'https://i.scdn.co/image/d5eff2f40af987b8794a43b6df78a47f41e4dc8f', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 42, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
4336,Badfinger,Badfinger,39.0,Day Atter Day,1972.0,1972.0,,https://i.scdn.co/image/b4205cc4629bb2e89c73280f6401fa242358acbb,48.0,,,,,False,,"[u'album rock', u'blues-rock', u'british blues', u'bubblegum pop', u'classic rock', u'folk rock', u'jangle pop', u'mellow gold', u'power pop', u'psychedelic rock', u'pub rock', u'rock', u'roots rock', u'soft rock', u'southern rock']",,,,,,"{'acousticness': None, 'genres': [u'album rock', u'blues-rock', u'british blues', u'bubblegum pop', u'classic rock', u'folk rock', u'jangle pop', u'mellow gold', u'power pop', u'psychedelic rock', u'pub rock', u'rock', u'roots rock', u'soft rock', u'southern rock'], 'artist_img': u'https://i.scdn.co/image/b4205cc4629bb2e89c73280f6401fa242358acbb', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 48, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
4383,Beverly Bremers,Beverly Bremers,86.0,Don’t Say You Don’t Rememeer,1972.0,1972.0,,https://i.scdn.co/image/573393b64a43d227323c1f87103da2507bb03dc1,9.0,,,,,False,,[u'bubblegum pop'],,,,,,"{'acousticness': None, 'genres': [u'bubblegum pop'], 'artist_img': u'https://i.scdn.co/image/573393b64a43d227323c1f87103da2507bb03dc1', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 9, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
4391,Don Mclean,Don Mclean,94.0,Vincent / Castles In The Air,1972.0,1972.0,,https://i.scdn.co/image/9f20b393bb0576561b89f2220afc60268ace2227,61.0,,,,,False,,"[u'adult standards', u'album rock', u'blues-rock', u'brill building pop', u'bubblegum pop', u'classic rock', u'country rock', u'folk', u'folk christmas', u'folk rock', u'mellow gold', u'psychedelic rock', u'rock', u'rock-and-roll', u'rockabilly', u'roots rock', u'singer-songwriter', u'soft rock', u'traditional folk']",,,,,,"{'acousticness': None, 'genres': [u'adult standards', u'album rock', u'blues-rock', u'brill building pop', u'bubblegum pop', u'classic rock', u'country rock', u'folk', u'folk christmas', u'folk rock', u'mellow gold', u'psychedelic rock', u'rock', u'rock-and-roll', u'rockabilly', u'roots rock', u'singer-songwriter', u'soft rock', u'traditional folk'], 'artist_img': u'https://i.scdn.co/image/9f20b393bb0576561b89f2220afc60268ace2227', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 61, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
4395,Love Unlimited,Love Unlimited,98.0,Walking In The Rain With The One I Love,1972.0,1972.0,,https://i.scdn.co/image/4214b03c8373c07631480b49ad8b87fce28352b3,44.0,,,,,False,,"[u'classic funk rock', u'disco', u'funk', u'jazz funk', u'motown', u'post-disco', u'quiet storm', u'soul']",,,,,,"{'acousticness': None, 'genres': [u'classic funk rock', u'disco', u'funk', u'jazz funk', u'motown', u'post-disco', u'quiet storm', u'soul'], 'artist_img': u'https://i.scdn.co/image/4214b03c8373c07631480b49ad8b87fce28352b3', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 44, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
4399,Rod Stewart,Rod Stewart,2.0,Maggie May / (Find A) Reason To Believe,1971.0,1971.0,,https://i.scdn.co/image/471b5932209b0cd73d913de7d07e805ffd957cf2,71.0,,,,,False,,"[u'adult standards', u'album rock', u'art rock', u'blues-rock', u'brill building pop', u'christmas', u'classic rock', u'folk', u'folk christmas', u'folk rock', u'mellow gold', u'motown', u'new wave pop', u'rock', u'rockabilly', u'roots rock', u'singer-songwriter', u'soft rock', u'soul']",,,,,,"{'acousticness': None, 'genres': [u'adult standards', u'album rock', u'art rock', u'blues-rock', u'brill building pop', u'christmas', u'classic rock', u'folk', u'folk christmas', u'folk rock', u'mellow gold', u'motown', u'new wave pop', u'rock', u'rockabilly', u'roots rock', u'singer-songwriter', u'soft rock', u'soul'], 'artist_img': u'https://i.scdn.co/image/471b5932209b0cd73d913de7d07e805ffd957cf2', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 71, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
