,Unnamed: 0,artist,subgenre,genre,master_genre
0,0,Mark Ronson,dance pop,Pop music,Pop music
1,1,Mark Ronson,indie r&b,Alternative rock,Pop music
2,2,Mark Ronson,neo mellow,Alternative rock,Pop music
3,3,Mark Ronson,pop,Pop music,Pop music
4,4,Mark Ronson,pop rap,Pop music,Pop music
5,5,Mark Ronson,post-teen pop,Pop music,Pop music
6,6,Mark Ronson,soul,Jazz,Pop music
7,7,Mark Ronson,tropical house,House music,Pop music
8,8,Ed Sheeran,pop,Pop music,Pop music
9,9,Wiz Khalifa,pop rap,Pop music,Hip hop
10,10,Wiz Khalifa,rap,Hip hop,Hip hop
11,11,Wiz Khalifa,southern hip hop,Hip hop,Hip hop
12,12,Wiz Khalifa,trap music,Rock music,Hip hop
13,13,Fetty Wap,pop rap,Pop music,Rock music
14,14,Fetty Wap,rap,Hip hop,Rock music
15,15,Fetty Wap,trap music,Rock music,Rock music
16,16,Maroon 5,dance pop,Pop music,Pop music
17,17,Maroon 5,pop,Pop music,Pop music
18,18,Maroon 5,pop christmas,Pop music,Pop music
19,19,Maroon 5,pop rap,Pop music,Pop music
20,20,Maroon 5,pop rock,Pop music,Pop music
21,21,Maroon 5,post-teen pop,Pop music,Pop music
22,22,Walk The Moon,indie pop,Pop music,Pop music
23,23,Walk The Moon,pop,Pop music,Pop music
24,24,Taylor Swift,children's christmas,,Pop music
25,25,Weeknd,canadian pop,Pop music,Pop music
26,26,Weeknd,pop,Pop music,Pop music
27,27,Weeknd,pop rap,Pop music,Pop music
28,28,Weeknd,rap,Hip hop,Pop music
29,29,OMI,pop,Pop music,Pop music
30,30,OMI,tropical house,House music,Pop music
31,31,Ellie Goulding,dance pop,Pop music,Pop music
32,32,Ellie Goulding,metropopolis,,Pop music
33,33,Ellie Goulding,pop,Pop music,Pop music
34,34,Ellie Goulding,post-teen pop,Pop music,Pop music
35,35,Hozier,folk-pop,,Blues music
36,36,Hozier,modern blues,Blues music,Blues music
37,37,Hozier,pop,Pop music,Blues music
38,38,Major Lazer and DJ Snake,edm,Blues music,Fusion music
39,39,Major Lazer and DJ Snake,electro house,House music,Fusion music
40,40,Major Lazer and DJ Snake,moombahton,Fusion music,Fusion music
41,41,Major Lazer and DJ Snake,pop,Pop music,Fusion music
42,42,Jason Derulo,dance pop,Pop music,Pop music
43,43,Jason Derulo,pop,Pop music,Pop music
44,44,Jason Derulo,pop rap,Pop music,Pop music
45,45,Jason Derulo,post-teen pop,Pop music,Pop music
46,46,Jason Derulo,r&b,,Pop music
47,47,Taylor Swift,fake,,Pop music
48,48,Skrillex and Diplo With Justin Bieber,edm,Blues music,Blues music
49,49,Skrillex and Diplo With Justin Bieber,pop,Pop music,Blues music
50,50,Skrillex and Diplo With Justin Bieber,tropical house,House music,Blues music
51,51,Rachel Platten,pop,Pop music,Pop music
52,52,Rachel Platten,post-teen pop,Pop music,Pop music
53,53,Meghan Trainor,dance pop,Pop music,Pop music
54,54,Meghan Trainor,hip pop,Pop music,Pop music
55,55,Meghan Trainor,pop,Pop music,Pop music
56,56,Meghan Trainor,post-teen pop,Pop music,Pop music
57,57,Fifth Harmony,dance pop,Pop music,Pop music
58,58,Fifth Harmony,pop,Pop music,Pop music
59,59,Fifth Harmony,post-teen pop,Pop music,Pop music
60,60,Fifth Harmony,talent show,,Pop music
61,61,Omarion,dance pop,Pop music,Pop music
62,62,Omarion,hip pop,Pop music,Pop music
63,63,Omarion,indie r&b,Alternative rock,Pop music
64,64,Omarion,pop,Pop music,Pop music
65,65,Omarion,pop rap,Pop music,Pop music
66,66,Omarion,r&b,,Pop music
67,67,Omarion,rap,Hip hop,Pop music
68,68,Omarion,southern hip hop,Hip hop,Pop music
69,69,Omarion,trap music,Rock music,Pop music
70,70,Omarion,urban contemporary,Gospel music,Pop music
71,71,Andy Grammer,neo mellow,Alternative rock,Pop music
72,72,Andy Grammer,pop,Pop music,Pop music
73,73,Andy Grammer,post-teen pop,Pop music,Pop music
74,74,Sam Smith,pop,Pop music,Pop music
75,75,Selena Gomez,dance pop,Pop music,Pop music
76,76,Selena Gomez,pop,Pop music,Pop music
77,77,Selena Gomez,post-teen pop,Pop music,Pop music
78,78,Drake,canadian pop,Pop music,Pop music
79,79,Drake,hip hop,Hip hop,Pop music
80,80,Drake,pop rap,Pop music,Pop music
81,81,Drake,rap,Hip hop,Pop music
82,82,David Guetta,dance pop,Pop music,Pop music
83,83,David Guetta,disco house,House music,Pop music
84,84,David Guetta,edm,Blues music,Pop music
85,85,David Guetta,electro house,House music,Pop music
86,86,David Guetta,house,House music,Pop music
87,87,David Guetta,pop,Pop music,Pop music
88,88,David Guetta,pop rap,Pop music,Pop music
89,89,Flo Rida,dance pop,Pop music,Pop music
90,90,Flo Rida,pop,Pop music,Pop music
91,91,Flo Rida,pop rap,Pop music,Pop music
92,92,Flo Rida,rap,Hip hop,Pop music
93,93,Flo Rida,southern hip hop,Hip hop,Pop music
94,94,Justin Bieber,canadian pop,Pop music,Pop music
95,95,Justin Bieber,dance pop,Pop music,Pop music
96,96,Justin Bieber,pop,Pop music,Pop music
97,97,Justin Bieber,pop christmas,Pop music,Pop music
98,98,Justin Bieber,post-teen pop,Pop music,Pop music
99,99,Adele,dance pop,Pop music,Pop music
100,100,Adele,pop,Pop music,Pop music
101,101,Shawn Mendes,canadian pop,Pop music,Pop music
102,102,Shawn Mendes,pop,Pop music,Pop music
103,103,Shawn Mendes,viral pop,Pop music,Pop music
104,104,Tove Lo,metropopolis,,Pop music
105,105,Tove Lo,pop,Pop music,Pop music
106,106,Tove Lo,swedish pop,Pop music,Pop music
107,107,Tove Lo,swedish synthpop,Extreme metal,Pop music
108,108,Nick Jonas,dance pop,Pop music,Pop music
109,109,Nick Jonas,pop,Pop music,Pop music
110,110,Nick Jonas,pop christmas,Pop music,Pop music
111,111,Nick Jonas,post-teen pop,Pop music,Pop music
112,112,R. City,alternative r&b,Alternative rock,Pop music
113,113,R. City,pop,Pop music,Pop music
114,114,R. City,post-teen pop,Pop music,Pop music
115,115,R. City,tropical house,House music,Pop music
116,116,Natalie La Rose,pop,Pop music,Pop music
117,117,Natalie La Rose,post-teen pop,Pop music,Pop music
118,118,Natalie La Rose,tropical house,House music,Pop music
119,119,Fall Out Boy,emo,Punk rock,Pop music
120,120,Fall Out Boy,pop punk,Pop music,Pop music
121,121,Fall Out Boy,pop rock,Pop music,Pop music
122,122,Sam Hunt,contemporary country,Country music,Country music
123,123,Sam Hunt,country road,Country music,Country music
124,124,Big Sean,detroit hip hop,Hip hop,Hip hop
125,125,Big Sean,pop rap,Pop music,Hip hop
126,126,Big Sean,rap,Hip hop,Hip hop
127,127,Big Sean,southern hip hop,Hip hop,Hip hop
128,128,Big Sean,trap music,Rock music,Hip hop
129,129,Rihanna,dance pop,Pop music,Pop music
130,130,Rihanna,pop,Pop music,Pop music
131,131,Rihanna,pop christmas,Pop music,Pop music
132,132,Rihanna,post-teen pop,Pop music,Pop music
133,133,Rihanna,r&b,,Pop music
134,134,Rihanna,soul christmas,Jazz,Pop music
135,135,Rihanna,urban contemporary,Gospel music,Pop music
136,136,Rich Homie Quan,deep trap,House music,Hip hop
137,137,Rich Homie Quan,gangster rap,Hip hop,Hip hop
138,138,Rich Homie Quan,pop rap,Pop music,Hip hop
139,139,Rich Homie Quan,rap,Hip hop,Hip hop
140,140,Rich Homie Quan,southern hip hop,Hip hop,Hip hop
141,141,Rich Homie Quan,trap music,Rock music,Hip hop
142,142,T-Wayne,pop rap,Pop music,Hip hop
143,143,T-Wayne,rap,Hip hop,Hip hop
144,144,T-Wayne,southern hip hop,Hip hop,Hip hop
145,145,T-Wayne,trap music,Rock music,Hip hop
146,146,Nicki Minaj,dance pop,Pop music,Pop music
147,147,Nicki Minaj,hip pop,Pop music,Pop music
148,148,Nicki Minaj,pop,Pop music,Pop music
149,149,Nicki Minaj,pop rap,Pop music,Pop music
150,150,Nicki Minaj,post-teen pop,Pop music,Pop music
151,151,Nicki Minaj,rap,Hip hop,Pop music
152,152,Sia,australian dance,Dance music,Pop music
153,153,Sia,dance pop,Pop music,Pop music
154,154,Sia,pop,Pop music,Pop music
155,155,Demi Lovato,dance pop,Pop music,Pop music
156,156,Demi Lovato,pop,Pop music,Pop music
157,157,Demi Lovato,pop christmas,Pop music,Pop music
158,158,Demi Lovato,post-teen pop,Pop music,Pop music
159,159,X Ambassadors,pop,Pop music,Pop music
160,160,X Ambassadors,stomp pop,Pop music,Pop music
161,161,Usher,dance pop,Pop music,Pop music
162,162,Usher,pop,Pop music,Pop music
163,163,Usher,pop christmas,Pop music,Pop music
164,164,Usher,pop rap,Pop music,Pop music
165,165,Usher,r&b,,Pop music
166,166,Usher,rap,Hip hop,Pop music
167,167,Usher,southern hip hop,Hip hop,Pop music
168,168,Usher,urban contemporary,Gospel music,Pop music
169,169,Beyonce,dance pop,Pop music,Pop music
170,170,Beyonce,pop,Pop music,Pop music
171,171,Beyonce,pop rap,Pop music,Pop music
172,172,Beyonce,post-teen pop,Pop music,Pop music
173,173,Beyonce,r&b,,Pop music
174,174,Beyonce,rap,Hip hop,Pop music
175,175,Beyonce,urban contemporary,Gospel music,Pop music
